Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
Performance Testing | Type (IEEE, 2022, pp. 7, 22, 26-27; 2021, p. 7; implied by Firesmith, 2015, p. 53) | Testing "conducted to evaluate the degree to which a test item accomplishes its designated functions within given constraints of time and other resources" (IEEE, 2022, p. 7; 2017, p. 320; similar in Moghadam, 2019, p. 1187) focused on "measuring the performance metrics" (Moghadam, 2019, p. 1187; similar in Hamburg and Mogyorodi, 2024) (such as the "system's capacity for growth" (Gerrard, 2000b, p. 23)), "detecting the functional problems appearing under certain execution conditions" (Moghadam, 2019, p. 1187), and "detecting violations of non-functional requirements under expected and stress conditions" (Moghadam, 2019, p. 1187; similar in Washizaki, 2024, p. 5-9) | Non-functional Testing (Washizaki, 2024, p. 5-8; Kam, 2008, pp. 46-47; Gerrard, 2000a, Tab. 2; 2000b, Tab. 1, p. 22), Performance-related Testing (IEEE, 2022, p. 22), Automated Testing (Dhok and Ramanathan, 2016, p. 895; Gerrard, 2000a, Tab. 2; 2000b, Tab. 1; implied by p. 32), Dynamic Testing (Gerrard, 2000a, Fig. 5, Tab. 2), Post-Deployment Monitoring (2000b, p. 32), Dynamic/Static Analysis (Dhok and Ramanathan, 2016, p. 895), Web Application Testing (can be; Gerrard, 2000b, p. 3) | Performance-related Testing (Moghadam, 2019, p. 1187) | "Performance, load and stress testing might considerably overlap in many areas" (Moghadam, 2019, p. 1187). "Performance issues are hard to detect in-house during testing and usually manifest in the field" (Dhok and Ramanathan, 2016, p. 895; OG [28]) and may include "repetitive computations, redundant loops, object bloat, latent performance bugs, and performance issues in clouds and smart phones" (Dhok and Ramanathan, 2016, p. 895). May be specific to "real-time constraints" (IEEE, 2022, p. 43). May be done by "us[ing] infrastructure/operations services" early on in the development process (Washizaki, 2024, p. 6-5) or automated test tools (Gerrard, 2000b, p. 24). Requires well-defined requirements, stable software, production hardware, and a controlled test environment, and estimating an "upper limit" for web application testing isn't feasible (p. 23); in this case, testing with test drivers may be sufficient (p. 24). Difference between this and performance efficiency testing? Related to efficiency testing (Kam, 2008, p. 46)
Periodic Built-In Testing (Firesmith, 2015, p. 31) | Practice? |  | Built-In Testing (Firesmith, 2015, p. 31) | PBIT (Firesmith, 2015, p. 31) | 
Personalization Testing (Firesmith, 2015, p. 53) | Type (implied by Firesmith, 2015, p. 53) |  | Flexibility Testing (Firesmith, 2015, p. 53) |  | 
Pharming | Approach | "Security attack[s] intended to redirect a website's traffic to a fraudulent website without the user's knowledge or consent" (Hamburg and Mogyorodi, 2024) | Security Attacks (Hamburg and Mogyorodi, 2024) |  | 
Physical Configuration Audits (PCAs) | Practice? (inferred from audits) | "Audit[s] conducted to verify that a configuration item, as built, conforms to the technical documentation that defines it" (IEEE, 2017, p. 322) | Audits (IEEE, 2017, p. 250) |  | 
Player Perspective Testing | Level? | "Testing done by testers from a player's perspective to validate player satisfaction" (Hamburg and Mogyorodi, 2024) | Satisfaction Testing (if it exists) (Hamburg and Mogyorodi, 2024) |  | 
Playtesting | Level? | "Testing of a game [performed] by players to identify failures and gather feedback" (Hamburg and Mogyorodi, 2024) | Ad Hoc Testing (Hamburg and Mogyorodi, 2024), User as Tester Testing |  | 
Portability Testing | Type (IEEE, 2022, pp. 7, 22; implied by its quality) | Testing to evaluate the "capability of a product to be adapted to changes in its requirements, contexts of use, or system environment" (ISO/IEC, 2023a; similar in IEEE, 2022, p. 7; 2017, pp. 184, 329; and Hamburg and Mogyorodi, 2024) |  | Flexibility Testing (ISO/IEC, 2023a); Transportability Testing (implied by IEEE, 2017, p. 329) | Related to co-existence and installability testing, as well as adaptability and replaceability testing (if they exist) (Hamburg and Mogyorodi, 2024) and potentially compatibility testing, and can improve user assistance and interaction capability (ISO/IEC, 2023a) "Can be measured either as the extent to which a product can be used by additional types of users to achieve additional types of goals … or by a capability to be modified to support adaptation for new types of users", etc. (ISO/IEC, 2011)
Positive Testing | Approach, Technique? (IEEE, 2021, p. 10) | Testing that uses "input values that the test item should accept as correct" (IEEE, 2021, p. 10) |  | Valid Testing (implied by IEEE, 2021, p. 10) | 
Post-Deployment Monitoring | Approach, Level? (Gerrard, 2000a, p. 13) | "Monitor[ing a] … site in production" (Gerrard, 2000b, p. 32; similar in 2000a, p. 15), including the server hardware, CGI programs, and links (2000b, p. 32) | Automated Testing (Gerrard, 2000a, pp. 13, 15), Performance Testing (implied by p. 15), Regression Testing |  | May include the use of "retain[ed] automated tests" (Gerrard, 2000a, p. 13; similar in 2000b, p. 34), remote monitoring services, and/or consultants (2000b, p. 34)
Post-Release Testing | Type (Hamburg and Mogyorodi, 2024) | "Testing to ensure that the release is performed correctly and the application can be deployed" (Hamburg and Mogyorodi, 2024) | Online Testing?, Operational Testing? |  | 
Power Testing? | Approach | Testing "based on power consumption and battery failure" (IEEE, 2022, p. 43); term is original | Performance Testing |  | 
Power-Up Built-In Testing (Firesmith, 2015, p. 31) | Practice? |  | Built-In Testing (Firesmith, 2015, p. 31) | PupBIT (Firesmith, 2015, p. 31) | 
Prime Contractor Testing (Firesmith, 2015, p. 37) | Practice? |  | Development Organization Testing (Firesmith, 2015, p. 37) |  | 
Prime Path Testing? (implied by Doğan et al., 2014, p. 184) | Technique? |  | Model-based Testing (Doğan et al., 2014, p. 184) |  | See Sakamoto et al., (2013)
Prioritization Testing | Practice? | Testing that "schedule[s] test cases to increase the rate [and likelihood] of fault detection, … the coverage of code under test, and … reliability" (Washizaki, 2024, p. 5-8) |  |  | What does "schedule" mean in this context?
Privacy Testing | Approach | Testing that "assess[es] the security and privacy of users' personal data to prevent local attacks" (Washizaki, 2024, p. 5-10) | Security Testing? |  | Assesses policies and profile/data management (Washizaki, 2024, p. 5-10); seems to overlap with IEEE's definition of security testing
Procedure Testing | Type (IEEE, 2022, pp. 7, 22; 2017, p. 337; OG IEEE, 2013) | Testing "conducted to evaluate whether procedural instructions for interacting with a test item or using its outputs meet user requirements and support the purpose of their use" (IEEE, 2022, p. 7; 2017, p. 337; OG IEEE, 2013) | Functional Suitability Testing (IEEE, 2022, p. 7; 2017, p. 337; OG IEEE, 2013) |  | 
Process-Driven Scripting | Technique (Hamburg and Mogyorodi, 2024) | Testing "where scripts are structured into scenarios which represent use cases of the software under test" and "can be parameterized with test data" (Hamburg and Mogyorodi, 2024) | Scripted Testing, Scenario Testing (Hamburg and Mogyorodi, 2024) |  | 
Processor-in-the-Loop Testing (Firesmith, 2015, p. 23) | Level (implied by system testing) |  | System Testing (Firesmith, 2015, p. 23) | PIL Testing (Firesmith, 2015, p. 23) | 
Product Lines Testing (Doğan et al., 2014, Tab. 1) | Approach |  |  |  | See Neto et al., (2012; 2011a; 2011b) and Engström and Runeson (2011)
Production Acceptance Testing | Level (Firesmith, 2015, p. 30; inferred from acceptance testing) |  | Acceptance Testing (Firesmith, 2015, p. 30) | Operational Acceptance Testing (Hamburg and Mogyorodi, 2024), PAT (Firesmith, 2015, p. 30) | 
Production Verification Testing | Level (IEEE, 2022, p. 22; inferred from acceptance testing) |  | Acceptance Testing (IEEE, 2022, p. 22), Online Testing?, Operational Testing? | Production Acceptance Testing? | 
Prognostics and Health Management (Firesmith, 2015, p. 31) | Practice? |  | Ongoing Built-In Testing (Firesmith, 2015, p. 31), Self-Testing? (implied by Firesmith, 2015, p. 31) | PMH (Firesmith, 2015, p. 31) | Not sure what this is; investigate
Programmer Testing (Firesmith, 2015, p. 39) | Practice? |  | Developer Testing (Firesmith, 2015, p. 39) | Developer Testing? | 
Proofs of Correctness | Technique, Artifact (IEEE, 2017, p. 355) | "Formal technique[s] used to prove mathematically that a computer program satisfies its specified requirements" (IEEE, 2017, p. 355) | Formal Testing, Mathematical-based Testing, Static Testing? |  | 
Proofs of Partial Correctness (implied by proofs of correctness (IEEE, 2017, p. 355) and partial correctness (p. 314)) | Technique, Artifact (IEEE, 2017, p. 355) | "Formal technique[s] used to prove mathematically" (IEEE, 2017, p. 355) "that a program's output assertions follow logically from its input assertions and processing steps" (p. 314) | Formal Testing, Mathematical-based Testing, Static Testing? |  | Difference between this and total correctness?
Proofs of Total Correctness (implied by proofs of correctness (IEEE, 2017, p. 355) and partial correctness (p. 314)) | Technique, Artifact (IEEE, 2017, p. 355) | "Formal technique[s] used to prove mathematically" (IEEE, 2017, p. 355) "that a program's output assertions follow logically from its input assertions and processing steps" (p. 480) | Formal Testing, Mathematical-based Testing, Static Testing? |  | Difference between this and partial correctness?
Protection System Testing? (Forsyth et al., 2004) | Approach |  | System Testing, Domain-Specific Testing? |  | Often performed using "real time simulators" (Forsyth et al., 2004, p. 332)
Qualification Operational Testing | Level (inferred from operational testing) |  | Operational Testing (Firesmith, 2015, p. 30), Qualification Testing? | QOT (Firesmith, 2015, p. 30) | Difference between this and qualification testing?
Qualification Testing | Level? | "Testing … to demonstrate that a software product meets its specifications and is ready for use in its target environment or integration with its containing system" (IEEE, 2017, p. 360; OG ISO/IEC, 2008) |  | Operational (Acceptance) Testing? | "Conducted by the developer and witnessed by the acquirer (as appropriate)" (IEEE, 2017, p. 360). Including "software" in its definition may be incorrect, since hardware qualification testing exists (Firesmith, 2015, p. 21). Difference between this and qualification operational testing?
Quick Testing | Technique (Washizaki, 2024, p. 5-14) | Testing "in which a very small test suite is selected and executed" (Washizaki, 2024, p. 5-14) | Ad Hoc Testing (Washizaki, 2024, p. 5-14) |  | "Guarantees that no failure can be experienced because of SUT components that are not fully operational" (Washizaki, 2024, p. 5-14), but this is not elaborated on
Random Testing | Technique (IEEE, 2022, pp. 7, 22, 36; 2021, p. 5, Fig. 2; Washizaki, 2024, p. 5-12; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 46) | Testing "based on generating test cases to exercise randomly selected test item inputs" (IEEE, 2022, p. 7; 2021, p. 5) which can be "generated based on an operational profile" (Hamburg and Mogyorodi, 2024) | Specification-based Testing (IEEE, 2022, pp. 7, 22; 2021, p. 5, Fig. 2; Washizaki, 2024, p. 5-12; Hamburg and Mogyorodi, 2024), Usage-based Testing (Washizaki, 2024, p. 5-15; implied by use operational profile by Hamburg and Mogyorodi, 2024), Mathematical-based Testing (IEEE, 2022, p. 36) | Randomized Testing (Doğan et al., 2014, p. 192; OG Halfond and Orso, 2007), Cat on the Keyboard Testing? (Firesmith, 2015, p. 46) | Often used in automated testing (Washizaki, 2024, p. 5-12) or to support non-functional testing, such as performance testing (Kam, 2008, p. 46) or reliability testing (Kam, 2008, p. 46; van Vliet, 2000, p. 439). Implied to be related to statistical testing (Washizaki, 2024, p. 5-15)
Random Walk Testing (Kam, 2008, p. 12; OG [18]) | Technique? (inferred from path testing) | Testing that "ensures arbitrary path selection with the same probability to be chosen" (Kam, 2008, p. 12) | Path Testing, Web Application Testing (implied by Kam, 2008, p. 12) |  | 
Rapid Prototyping Testing | Practice? | Testing performed on prototypes developed "early in the development process to permit early feedback and analysis" (IEEE, 2017, p. 365) | Lifecycle-based Testing, At-the-Beginning Testing? |  | 
Reactive Testing | Practice? | "Testing that dynamically responds to the behavior of the test object and to test results being obtained" (Hamburg and Mogyorodi, 2024) | Dynamic Testing (implied by Hamburg and Mogyorodi, 2024) |  | What does "responds" mean in this context?
Recovery Testing | Type (IEEE, 2022, p. 22; implied by the quality of "recoverability" (ISO/IEC, 2023a; IEEE, 2017, p. 370; Washizaki, 2024, p. 5-9)) | Testing of "software restart capabilities after a system crash or other disaster" (Washizaki, 2024, p. 5-9) including "recover[ing] the data directly affected and re-establish[ing] the desired state of the system" (ISO/IEC, 2023a) so that the system "can perform required functions" (IEEE, 2017, p. 370) | Performance(-related) Testing (IEEE, 2022, p. 22), Reliability Testing (IEEE, 2017, p. 375; Washizaki, 2024, pp. 4-11, 7-10), Availability Testing (IEEE, 2017, p. 38), Fault Tolerance Testing (Washizaki, 2024, p. 4-11), Non-functional Testing (Washizaki, 2024, p. 5-9), Usability Testing? (Washizaki, 2024, p. 5-10), Dynamic Testing? (implied by Gerrard, 2000a, Fig. 5) | Recoverability Testing (Kam, 2008, p. 47), Restart & Recovery (Testing)? (Gerrard, 2000a, Fig. 5) | May be done through simulations (Washizaki, 2024, p. 5-28). Difference between this and disaster/recovery testing?
Red Team Testing (Firesmith, 2015, p. 57) | Type (implied by Firesmith, 2015, p. 57) |  | Penetration Testing (Firesmith, 2015, p. 57) |  | 
Regression Testing | Approach, Level? (Barbosa et al., 2006, p. 3) | The "selective retesting of a system or component to verify that modifications [to a test item or to its operational environment (IEEE, 2022, p. 8; similar in Kam, 2008, p. 47), such as refactoring (Lahiri et al., 2013, p. 345) or bug fixes (p. 346)] have not caused unintended effects", specifically in the areas of "functionality, reliability [and] performance", and have "not introduced additional defects" (IEEE, 2017, p. 372), primarily "in unmodified parts of the test item" (IEEE, 2022, p. 8; similar in Hamburg and Mogyorodi, 2024) | Functional Testing, Non-functional Testing, Continuous Testing (Washizaki, 2024, p. 5-8), Change-Related Testing (Hamburg and Mogyorodi, 2024), Web Application Testing (Doğan et al., 2014, Tabs. 8, 22, p. 185), Developer Testing (can be) (Gerrard, 2000a, p. 11), Relative Correctness Testing (if it exists) | Non-regression Testing (Washizaki, 2024, p. 5-8) | "Does not test that the modification works correctly"; this is "retesting" (IEEE, 2022, p. 8; also described as separate by Washizaki, 2024, p. 6-5; Firesmith, 2015, p. 34). Interesting to note it is sometimes described as such (Washizaki, 2024, pp. 7-5 to 7-6; IEEE, 2017, p. 372), maybe just in the sense of "testing again"? Should be part of any test strategy and its level should be "based on a knowledge of the risks associated with developers making changes" (IEEE, 2022, p. 23), although it can be applied to any level (Washizaki, 2024, p. 5-8), and "play[s] an important role in software engineering operations" (Washizaki, 2024, p. 6-5) and "maintenance" (Washizaki, 2024, p. 7-5). Can be supported by tools, such as "tinderboxes" (IEEE, 2017, p. 478). The use of "selective" seems to implicitly describe partial regression testing (see Firesmith, 2015, p. 34)
